jahr,bfs_nummer,bfs_bezeichnung,administrative_ebene,indikator,wirtschaftssektor,anzahl
2018,2775,Therwil,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,22
2018,2781,Blauen,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2018,2781,Blauen,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2018,2781,Blauen,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2018,2781,Blauen,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2018,2782,Brislach,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2018,2782,Brislach,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,7
2018,2782,Brislach,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2018,2782,Brislach,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,6
2018,2784,Dittingen,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2018,2784,Dittingen,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2018,2784,Dittingen,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2018,2784,Dittingen,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,4
2018,2785,Duggingen,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2018,2785,Duggingen,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,4
2018,2785,Duggingen,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2018,2785,Duggingen,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,7
2018,2786,Grellingen,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2018,2786,Grellingen,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2018,2786,Grellingen,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2018,2786,Grellingen,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,8
2018,2787,Laufen,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2018,2787,Laufen,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,22
2018,2787,Laufen,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,5
2018,2787,Laufen,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,12
2018,2788,Liesberg,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2018,2788,Liesberg,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2018,2788,Liesberg,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2018,2788,Liesberg,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2018,2789,Nenzlingen,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2018,2789,Nenzlingen,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2018,2789,Nenzlingen,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2018,2789,Nenzlingen,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,0
2018,2790,Roggenburg,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2018,2790,Roggenburg,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,0
2018,2790,Roggenburg,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2018,2790,Roggenburg,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,0
2018,2791,Röschenz,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2018,2791,Röschenz,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2018,2791,Röschenz,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2018,2791,Röschenz,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2018,2792,Wahlen,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2018,2792,Wahlen,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2018,2792,Wahlen,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2018,2792,Wahlen,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2018,2821,Arisdorf,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2018,2821,Arisdorf,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,4
2018,2821,Arisdorf,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2018,2821,Arisdorf,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2018,2822,Augst,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2018,2822,Augst,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2018,2822,Augst,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2018,2822,Augst,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,0
2018,2823,Bubendorf,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2018,2823,Bubendorf,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,14
2018,2823,Bubendorf,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2018,2823,Bubendorf,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,9
2018,2824,Frenkendorf,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2018,2824,Frenkendorf,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,16
2018,2824,Frenkendorf,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,4
2018,2824,Frenkendorf,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,7
2018,2825,Füllinsdorf,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2018,2825,Füllinsdorf,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,16
2018,2825,Füllinsdorf,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2018,2825,Füllinsdorf,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,13
2018,2826,Giebenach,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2018,2826,Giebenach,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2018,2826,Giebenach,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2018,2826,Giebenach,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2018,2827,Hersberg,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2018,2827,Hersberg,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2018,2827,Hersberg,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2018,2827,Hersberg,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2018,2828,Lausen,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,5
2018,2828,Lausen,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,19
2018,2828,Lausen,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2018,2828,Lausen,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,19
2018,2829,Liestal,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,11
2018,2829,Liestal,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,69
2018,2829,Liestal,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,7
2018,2829,Liestal,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,57
2018,2830,Lupsingen,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2018,2830,Lupsingen,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2018,2830,Lupsingen,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2018,2830,Lupsingen,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,8
2018,2831,Pratteln,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,12
2018,2831,Pratteln,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,49
2018,2831,Pratteln,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,10
2018,2831,Pratteln,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,57
2018,2832,Ramlinsburg,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2018,2832,Ramlinsburg,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2018,2832,Ramlinsburg,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2018,2832,Ramlinsburg,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2018,2833,Seltisberg,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2018,2833,Seltisberg,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,5
2018,2833,Seltisberg,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2018,2833,Seltisberg,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2018,2841,Anwil,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2018,2841,Anwil,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2018,2841,Anwil,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2018,2841,Anwil,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2018,2842,Böckten,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2018,2842,Böckten,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2018,2842,Böckten,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2018,2842,Böckten,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2018,2843,Buckten,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2018,2843,Buckten,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,0
2018,2843,Buckten,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2018,2843,Buckten,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,0
2018,2844,Buus,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,4
2018,2844,Buus,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,6
2018,2844,Buus,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2018,2844,Buus,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,0
2018,2845,Diepflingen,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2018,2845,Diepflingen,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2018,2845,Diepflingen,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2018,2845,Diepflingen,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2018,2846,Gelterkinden,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2018,2846,Gelterkinden,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,19
2018,2846,Gelterkinden,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,4
2018,2846,Gelterkinden,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,15
2018,2847,Häfelfingen,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2018,2847,Häfelfingen,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,0
2018,2847,Häfelfingen,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2018,2847,Häfelfingen,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,0
2018,2848,Hemmiken,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2018,2848,Hemmiken,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,0
2018,2848,Hemmiken,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2018,2848,Hemmiken,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,0
2018,2849,Itingen,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2018,2849,Itingen,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2018,2849,Itingen,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2018,2849,Itingen,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,4
2018,2850,Känerkinden,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2018,2850,Känerkinden,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2018,2850,Känerkinden,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2018,2850,Känerkinden,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,0
2018,2852,Läufelfingen,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2018,2852,Läufelfingen,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2018,2852,Läufelfingen,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2018,2852,Läufelfingen,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,5
2018,2853,Maisprach,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2018,2853,Maisprach,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2018,2853,Maisprach,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2018,2853,Maisprach,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2018,2854,Nusshof,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2018,2854,Nusshof,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,0
2018,2854,Nusshof,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2018,2854,Nusshof,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2018,2855,Oltingen,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2018,2855,Oltingen,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,0
2018,2855,Oltingen,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2018,2855,Oltingen,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2018,2856,Ormalingen,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2018,2856,Ormalingen,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,4
2018,2856,Ormalingen,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2018,2856,Ormalingen,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2018,2858,Rothenfluh,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2018,2858,Rothenfluh,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,5
2018,2858,Rothenfluh,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2018,2858,Rothenfluh,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,7
2018,2859,Rümlingen,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2018,2859,Rümlingen,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,0
2018,2859,Rümlingen,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2018,2859,Rümlingen,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2018,2860,Rünenberg,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2018,2860,Rünenberg,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2018,2860,Rünenberg,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2018,2860,Rünenberg,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2018,2861,Sissach,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2018,2861,Sissach,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,25
2018,2861,Sissach,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,4
2018,2861,Sissach,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,16
2018,2862,Tecknau,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2018,2862,Tecknau,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2018,2862,Tecknau,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2018,2862,Tecknau,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2018,2863,Tenniken,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2018,2863,Tenniken,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2018,2863,Tenniken,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2018,2863,Tenniken,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2018,2864,Thürnen,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2018,2864,Thürnen,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2018,2864,Thürnen,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2018,2864,Thürnen,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2018,2865,Wenslingen,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2018,2865,Wenslingen,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2018,2865,Wenslingen,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2018,2865,Wenslingen,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2018,2866,Wintersingen,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2018,2866,Wintersingen,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,4
2018,2866,Wintersingen,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2018,2866,Wintersingen,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2018,2867,Wittinsburg,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2018,2867,Wittinsburg,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2018,2867,Wittinsburg,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2018,2867,Wittinsburg,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,0
2018,2881,Arboldswil,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2018,2881,Arboldswil,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,0
2018,2881,Arboldswil,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2018,2881,Arboldswil,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2018,2882,Bennwil,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2018,2882,Bennwil,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2018,2882,Bennwil,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2018,2882,Bennwil,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2018,2883,Bretzwil,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2018,2883,Bretzwil,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2018,2883,Bretzwil,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2018,2883,Bretzwil,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2018,2884,Diegten,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2018,2884,Diegten,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2018,2884,Diegten,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2018,2884,Diegten,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2018,2885,Eptingen,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2018,2885,Eptingen,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2018,2885,Eptingen,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2018,2885,Eptingen,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,4
2018,2886,Hölstein,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2018,2886,Hölstein,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,4
2018,2886,Hölstein,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2018,2886,Hölstein,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,11
2018,2887,Lampenberg,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2018,2887,Lampenberg,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2018,2887,Lampenberg,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2018,2887,Lampenberg,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2018,2888,Langenbruck,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2018,2888,Langenbruck,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2018,2888,Langenbruck,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2018,2888,Langenbruck,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2018,2889,Lauwil,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2018,2889,Lauwil,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2018,2889,Lauwil,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2018,2889,Lauwil,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,0
2018,2890,Liedertswil,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2018,2890,Liedertswil,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2018,2890,Liedertswil,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2018,2890,Liedertswil,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,0
2018,2891,Niederdorf,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2018,2891,Niederdorf,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,7
2018,2891,Niederdorf,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2018,2891,Niederdorf,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,7
2018,2893,Reigoldswil,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2018,2893,Reigoldswil,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,6
2018,2893,Reigoldswil,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2018,2893,Reigoldswil,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,6
2018,2894,Titterten,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2018,2894,Titterten,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2018,2894,Titterten,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2018,2894,Titterten,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2018,2895,Waldenburg,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2018,2895,Waldenburg,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2018,2895,Waldenburg,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2018,2895,Waldenburg,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,4
2017,2762,Allschwil,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,15
2017,2762,Allschwil,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,60
2017,2762,Allschwil,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,13
2017,2762,Allschwil,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,53
2017,2763,Arlesheim,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,5
2017,2763,Arlesheim,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,28
2017,2763,Arlesheim,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,5
2017,2763,Arlesheim,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,32
2017,2765,Binningen,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,5
2017,2765,Binningen,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,54
2017,2765,Binningen,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,7
2017,2765,Binningen,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,49
2017,2766,Birsfelden,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,4
2017,2766,Birsfelden,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,39
2017,2766,Birsfelden,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,7
2017,2766,Birsfelden,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,33
2017,2767,Bottmingen,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2017,2767,Bottmingen,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,18
2017,2767,Bottmingen,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2017,2767,Bottmingen,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,32
2017,2768,Ettingen,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2017,2768,Ettingen,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,13
2017,2768,Ettingen,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2017,2768,Ettingen,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,22
2017,2769,Münchenstein,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,7
2017,2769,Münchenstein,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,59
2017,2769,Münchenstein,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,8
2017,2769,Münchenstein,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,45
2017,2770,Muttenz,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,9
2017,2770,Muttenz,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,62
2017,2770,Muttenz,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,8
2017,2770,Muttenz,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,46
2017,2772,Pfeffingen,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2017,2772,Pfeffingen,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,7
2017,2772,Pfeffingen,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2017,2772,Pfeffingen,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,5
2017,2774,Schönenbuch,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,( )
2017,2774,Schönenbuch,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,5
2017,2774,Schönenbuch,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2017,2774,Schönenbuch,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,10
2017,2775,Therwil,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,4
2017,2775,Therwil,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,27
2017,2775,Therwil,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,8
2017,2775,Therwil,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,37
2017,2781,Blauen,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2017,2781,Blauen,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2017,2781,Blauen,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,0
2017,2781,Blauen,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2017,2782,Brislach,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2017,2782,Brislach,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,( )
2017,2782,Brislach,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,( )
2017,2782,Brislach,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,5
2017,2784,Dittingen,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2017,2784,Dittingen,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,5
2017,2784,Dittingen,Gemeinde,Unternehmensschliessungen,Sekundärer Sektor,4
2017,2784,Dittingen,Gemeinde,Unternehmensschliessungen,Tertiärer Sektor,( )
2017,2785,Duggingen,Gemeinde,Unternehmensneugründungen,Sekundärer Sektor,0
2017,2785,Duggingen,Gemeinde,Unternehmensneugründungen,Tertiärer Sektor,5
